Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-glycine,1,rxn34,H+ + L-glycine + phenylacetic acid => H2O + n-phenylacetylglycine,YNL021W or YFL060C or YIL060W or YNL334C or YLR351C or YPR068C or YGL037C or YLR308W or YMR281W or YBR248C or YLR155C or YBR183W or YJL213W or YPL096W or YPL087W or YMR154C or YPL116W or YIL163C or YDR428C or YPR138C or YGL194C or YNL330C or YLR158C or YLR307W or YJL126W or YDR321W or YLR157C or YDR242W or YLR160C or YMR095C
L-glycine,2,rxn622,ATP + L-glycine + phenylacetic acid => AMP + diphosphate + H+ + n-phenylacetylglycine,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-glycine,3,rxn819,glycolaldehyde + L-glycine => ethanolamine + glyoxylate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,4,rxn1281,L-glycine + Ala-Leu => L-leucine + Ala-Gly,YNL167C or YDR177W or YOR161C or YPL007C or YDR073W or YBR082C or YFL009W or YMR269W or YJR090C or YGL058W or YMR153W or YPR125W or YLR078C or YOR269W or YOL054W or YGR159C or YOL013C or YBR280C or YJR097W or YDR059C or YKL084W or YHL010C or YDR485C or YEL012W or YOR358W or YJL095W or YLL036C or YDR313C or YLR394W or YML114C or YER068W or YFR018C or YOL027C or YBR290W or YER021W or YNL023C or YGL017W or YHL034C or YDR092W or YHR039C-A or YKR017C or YDR228C or YBR260C or YNL236W or YER125W or YBR062C or YML097C or YIL079C or YLR427W or YJR054W or YJR052W or YHR069C or YOR181W or YBR273C or YNL243W or YPR056W or YDR054C or YDR211W or YDR425W or YDL240W or YDR143C or YOR216C or YAL002W or YJR134C or YPL120W or YOL133W or YER143W or YEL019C or YDR388W or YDR460W or YMR026C or YOL044W or YDR323C or YLR007W or YDL013W or YPR030W or YML002W or YMR022W or YDR266C or YNL227C or YNL097C or YER016W or YGR009C or YKL057C or YMR276W or YJR055W or YMR147W or YKR007W or YGL164C or YEL022W or YCR033W or YKR078W or YDL074C or YOL051W or YGR184C or YIR018W or YNL260C or YIL062C or YER116C or YBR128C or YKL059C or YML068W or YBR275C or YOR156C or YCR066W or YOR339C or YDL195W or YLR299W or YNL159C or YPR093C or YCR084C
L-glycine,5,rxn1641,4-aminobutanal + L-glycine => glyoxylate + putrescine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,6,rxn2130,2-oxoglutarate + 2 ATP + L-cysteine + L-glycine => 2 ADP + 2 H+ + 2 phosphate + N-(4-oxoglutarate)-L-cysteinylglycine,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-glycine,7,rxn2258,L-glycine + phenylacetic acid => H2O + n-phenylacetylglycine,YNL021W or YFL060C or YIL060W or YNL334C or YLR351C or YPR068C or YGL037C or YLR308W or YMR281W or YBR248C or YLR155C or YBR183W or YJL213W or YPL096W or YPL087W or YMR154C or YPL116W or YIL163C or YDR428C or YPR138C or YGL194C or YNL330C or YLR158C or YLR307W or YJL126W or YDR321W or YLR157C or YDR242W or YLR160C or YMR095C or YBR281C or YFR044C or YJL172W or YPL096C-A or YHR113W or YBR286W or YKL103C or YKL165C or YLL029W or YBL091C or YLR244C or YKL157W or YER078C or YHR047C
L-glycine,8,rxn2381,ATP + L-glycine + salicylic acid => ADP + phosphate + salicylurate,YPR035W or YJL046W or YIR019C or YLR143W
L-glycine,9,rxn2458,3 ATP + H2O + L-cysteine + L-glutamate + L-glycine => 3 AMP + 3 diphosphate + glutathione + 3 H+,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-glycine,10,rxn2459,2-oxoglutarate + 3 ATP + H2O + L-cysteine + L-glycine => 3 AMP + 3 diphosphate + 3 H+ + N-(4-oxoglutarate)-L-cysteinylglycine,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-glycine,11,rxn2856,L-glycine + succinic semialdehyde => glyoxylate + 2-aminobutanoate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,12,rxn2886,ATP + L-glycine + phenylacetic acid => ADP + H+ + phosphate + n-phenylacetylglycine,YNL119W or YBR218C or YBL039C or YOL058W or YGL062W or YDL141W or YNL220W or YJR103W or YOR209C or YGR204W or YGL234W or YBR084W or YPR035W or YJL046W or YIR019C or YLR143W or YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-glycine,13,rxn2887,indole-3-pyruvate + L-glycine => glyoxylate + L-tryptophan,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,14,rxn2888,keto-phenylpyruvate + L-glycine => glyoxylate + L-phenylalanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,15,rxn3131,2 H+ + L-glycine + NADPH => aminoacetaldehyde + H2O + NADP(+),YBR006W or YPL061W or YJR009C or YHR037W or YER073W or YDR158W or YMR169C or YGR192C or YPL098C or YMR110C or YMR170C or YOR374W or YOR323C or YJL052W
L-glycine,16,rxn3194,2-oxoglutarate + L-glycine => glyoxylate + L-glutamate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,17,rxn3195,2-oxoadipic acid + L-glycine => glyoxylate + L-2-aminoadipate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,18,rxn3196,L-glycine + oxaloacetate => glyoxylate + L-aspartate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,19,rxn3197,L-glycine + 2-Oxoglutaramate => glyoxylate + L-glutamine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
L-glycine,20,rxn3198,4-hydroxy-2-oxoglutarate + L-glycine => erythro-4-hydroxy-L-glutamic acid + glyoxylate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
